"secc","media","emc_media","cv_media","fgt0","emc_fgt0","cv_fgt0","fgt1","emc_fgt1","cv_fgt1","gini","emc_gini","cv_gini","cuota_quintil","emc_quintil","cv_quintil"
"19",15786.9848197447,61825.2024020992,0.0155045817518433,0.0178236865538736,5.18610800322569e-06,0.127768337061389,0.00347441865811673,3.02536057400811e-07,0.158309297929188,0.344751434178222,1.13289121576303e-06,0.00308736533193917,5.953122738147,0.00345851308115862,0.00987870177025496
"2",15470.3088819835,1949554.37762812,0.0888191477239973,0.0193846153846154,0.000149426265925437,0.630603364353254,0.00389091435246137,1.23355334592478e-05,0.902666440899577,0.34478112662017,3.59856698874862e-05,0.0173988807447227,5.96341265351055,0.0213893649258883,0.0245247214017482
"20",12114.240974656,75701.8480667068,0.0222528571582985,0.0464655334629618,1.16098210676514e-06,0.0231889901241183,0.00997438396628929,8.25740817551227e-08,0.0288095048419718,0.346836149323019,3.86489481560699e-06,0.00566819109653426,6.02475298443167,0.00334974022228115,0.00960652502804869
"21",11301.5864955943,147910.365917618,0.0332933634167784,0.0577963561425694,1.63539980319753e-06,0.0221264383513297,0.0128033537600534,7.93500846129593e-08,0.0220013815041399,0.347615406819848,2.55580479751565e-06,0.00459901497550905,6.04657668634918,0.00347167569424551,0.00974451008051223
"22",13120.900342394,271850.3680699,0.0389945857246531,0.0355295196797865,3.50607181527734e-06,0.0527012683529345,0.00741446979584824,1.62328162980624e-07,0.0543396499738618,0.34581461718329,4.52821240220864e-06,0.00615346944533649,5.99643596953498,0.00497646134686961,0.0117643277956133
"23",23259.3759508044,570580.403929289,0.0321304882443643,0.00356272267016689,3.77383386292883e-05,1.724286274925,0.000577235648293187,3.50754645141742e-06,3.24450592563528,0.345070791904554,1.45455212861189e-05,0.011052396192959,5.96374602345744,0.0120044224768524,0.0183717909789208
"24",26445.5905167459,22688.9169196624,0.00564244520660622,0.00187217079927032,1.50526582645303e-05,2.0723405923074,0.000291661315650907,7.52242033025322e-07,2.97371927528883,0.344812909535243,5.90636322220264e-06,0.00704817304883938,5.95849976756596,0.00544922572457978,0.0123888350993763
"3",15786.0163809345,371263.762624355,0.0379966046127142,0.0185317647058824,9.33554934256056e-05,0.521378552437192,0.00352166957812414,1.24400866915673e-05,1.00152800511639,0.344661895636279,1.1900212942902e-05,0.0100088480049623,5.9447486493102,0.00859742707766824,0.0155973476961858
"4",23821.4211108032,2580193.71978902,0.0667305072779618,0.00307196029776675,0.00015036944504307,3.99175795925205,0.000491533070209928,1.1485208361973e-05,6.89472100082996,0.34231633081163,2.07610769978326e-05,0.0133105904559574,5.87587956564056,0.0204060375049364,0.0243112032685987
"5",21635.6520117381,662282.859639958,0.0371845275696642,0.00508716586418728,8.18405752104894e-06,0.562352252144108,0.000855571692608915,4.29462790812497e-07,0.765960482224647,0.344076830794598,1.66354749606421e-05,0.011853924944536,5.93699279636777,0.0117856358434905,0.0182856324932413
"6",28004.9073785764,3526439.46099217,0.0664621411332516,0.00142298288508557,2.24645189830286e-05,3.33080252527561,0.000210184922835438,1.09703409343039e-06,4.98320212116293,0.342146113937891,2.25147309679228e-05,0.0138682534252052,5.87311633351039,0.0116049078565586,0.0183422346447806
"7",19986.8261521639,286096.331593245,0.0264310090729354,0.00668441486411536,3.29714652568023e-06,0.271647509402076,0.00119379008307283,1.01566338233912e-07,0.266960453079938,0.344131110525842,9.649748879707e-06,0.00902680518814732,5.92868243995732,0.00856050928092845,0.0156060003571918
"8",17876.0655911382,791474.005646862,0.0490811557419967,0.0110264735264735,1.04041113731423e-05,0.29252693256228,0.00203873774404848,2.92097743633904e-07,0.265095733283777,0.344375102280467,7.44581505118407e-06,0.00792363345585641,5.93631402769094,0.00453551001812941,0.0113447831367539
"9",10352.0451292377,90118.6388018786,0.0283150715316904,0.0754030442910006,8.00627663203995e-06,0.0375254937790891,0.0172322017312008,4.58858056936057e-07,0.0393095806422528,0.348256248735253,4.80253530329608e-06,0.00629269040474028,6.06385556802945,0.00590821354208918,0.0126759128126609
"99",9406.46996272487,6105.94222774844,0.00809203870730397,0.0982760296833987,5.65413498247578e-06,0.0241955491433521,0.0235143154094796,1.51139988658152e-06,0.0522826212522722,0.348186865246606,1.58367668718231e-07,0.00114293327747143,6.06605500771478,0.000550824986928255,0.00386901552309223
