"secc","media_h","emc_media_h","cv_media_h","fgt0_h","emc_fgt0_h","cv_fgt0_h","fgt1_h","emc_fgt1_h","cv_fgt1_h","gini_h","emc_gini_h","cv_gini_h","cuota_quintil_h","emc_quintil_h","cv_quintil_h","media_m","emc_media_m","cv_media_m","fgt0_m","emc_fgt0_m","cv_fgt0_m","fgt1_m","emc_fgt1_m","cv_fgt1_m","gini_m","emc_gini_m","cv_gini_m","cuota_quintil_m","emc_quintil_m","cv_quintil_m","d_media","d_fgt0","d_fgt1","d_gini","d_quintil"
"19",15786.9848197447,61825.2024020992,0.0155045817518433,0.0178236865538736,5.18610800322569e-06,0.127768337061389,0.00347441865811673,3.02536057400811e-07,0.158309297929188,0.344751434178222,1.13289121576303e-06,0.00308736533193917,5.953122738147,0.00345851308115862,0.00987870177025496,15388.2200322531,55938.5860801408,0.0152705342929272,0.0171815157116451,2.39833307115938e-05,0.285031773105403,0.00329467699501119,2.61620434567831e-06,0.490933861370726,0.344687519638003,1.76127588737214e-05,0.0121755373104118,5.95153007116412,0.0190532488980654,0.0231929444667248,398.764787491558,0.000642170842228451,0.000179741663105544,6.39145402190344e-05,0.00159266698288185
"2",15470.3088819835,1949554.37762812,0.0888191477239973,0.0193846153846154,0.000149426265925437,0.630603364353254,0.00389091435246137,1.23355334592478e-05,0.902666440899577,0.34478112662017,3.59856698874862e-05,0.0173988807447227,5.96341265351055,0.0213893649258883,0.0245247214017482,15852.0372420062,5485836.58902709,0.146826781337193,0.016588785046729,1.16826524150581e-05,0.206042185645133,0.00320683510743717,4.81257991219157e-07,0.216327806912732,0.346035760421301,0.000125039516264757,0.0323148883668065,5.98682406841087,0.0924027562235393,0.0507745364184663,-381.728360022747,0.00279583033788642,0.000684079245024204,-0.00125463380113083,-0.023411414900318
"20",12114.240974656,75701.8480667068,0.0222528571582985,0.0464655334629618,1.16098210676514e-06,0.0231889901241183,0.00997438396628929,8.25740817551227e-08,0.0288095048419718,0.346836149323019,3.86489481560699e-06,0.00566819109653426,6.02475298443167,0.00334974022228115,0.00960652502804869,12250.0723276236,307353.091832087,0.0448899676175635,0.0399096264020011,4.199114785764e-06,0.0513453609164541,0.00832027657134806,3.01178534276284e-07,0.0659590276770887,0.347260430236085,3.74314359084637e-06,0.00557138210251994,6.02450291539935,0.00338133863370748,0.00965212892943882,-135.831352967532,0.00655590706096067,0.00165410739494124,-0.000424280913065844,0.000250069032321498
"21",11301.5864955943,147910.365917618,0.0332933634167784,0.0577963561425694,1.63539980319753e-06,0.0221264383513297,0.0128033537600534,7.93500846129593e-08,0.0220013815041399,0.347615406819848,2.55580479751565e-06,0.00459901497550905,6.04657668634918,0.00347167569424551,0.00974451008051223,11284.3917319327,66515.9811525883,0.0226544315675239,0.0521949800531915,6.48541499457785e-05,0.154290842222312,0.0113080182702318,7.8556204248736e-06,0.247858458184796,0.348003953990165,3.5983380024465e-06,0.00545088223561455,6.0475850424099,0.00352554380619963,0.00981818188856281,17.1947636616133,0.00560137608937795,0.00149533548982161,-0.000388547170316667,-0.00100835606071925
"22",13120.900342394,271850.3680699,0.0389945857246531,0.0355295196797865,3.50607181527734e-06,0.0527012683529345,0.00741446979584824,1.62328162980624e-07,0.0543396499738618,0.34581461718329,4.52821240220864e-06,0.00615346944533649,5.99643596953498,0.00497646134686961,0.0117643277956133,13449.9200856699,74116.8976444084,0.020091940454978,0.028486027591086,1.06254547556666e-05,0.114430520288127,0.00571423169714969,4.36796207695358e-07,0.11565957274515,0.34650432539347,2.95654849616672e-06,0.00496230944866452,6.0021814474744,0.00351434257078492,0.00987672419900214,-329.01974327586,0.00704349208870056,0.00170023809869855,-0.000689708210179996,-0.00574547793941349
"23",23259.3759508044,570580.403929289,0.0321304882443643,0.00356272267016689,3.77383386292883e-05,1.724286274925,0.000577235648293187,3.50754645141742e-06,3.24450592563528,0.345070791904554,1.45455212861189e-05,0.011052396192959,5.96374602345744,0.0120044224768524,0.0183717909789208,23791.6718020679,608245.516750212,0.0326432144409947,0.00245266657031363,9.01597890282076e-07,0.387139898344824,0.00039427744682636,1.4252310792771e-08,0.302789427286701,0.343769210838675,4.28105056489628e-06,0.00601877629118052,5.90788779992251,0.00280722374631209,0.00896822045952364,-532.29585126348,0.00111005609985326,0.000182958201466827,0.00130158106587991,0.0558582235349272
"24",26445.5905167459,22688.9169196624,0.00564244520660622,0.00187217079927032,1.50526582645303e-05,2.0723405923074,0.000291661315650907,7.52242033025322e-07,2.97371927528883,0.344812909535243,5.90636322220264e-06,0.00704817304883938,5.95849976756596,0.00544922572457978,0.0123888350993763,26827.0861780569,70426.1696120857,0.00985547757042062,0.001421803528643,5.17807005087611e-07,0.506109364373556,0.000222527081761213,2.05717607162547e-08,0.64454442967055,0.344261315801734,3.98059197926667e-06,0.00579542923769998,5.93100128013135,0.00278844895284128,0.0089033476456843,-381.495661310975,0.000450367270627323,6.91342338896934e-05,0.000551593733508438,0.0274984874346149
"3",15786.0163809345,371263.762624355,0.0379966046127142,0.0185317647058824,9.33554934256056e-05,0.521378552437192,0.00352166957812414,1.24400866915673e-05,1.00152800511639,0.344661895636279,1.1900212942902e-05,0.0100088480049623,5.9447486493102,0.00859742707766824,0.0155973476961858,15945.7978198854,931596.17451216,0.0601523408230802,0.0150117279124316,5.59997579226832e-05,0.498496818135254,0.00280607458551724,2.32478251499994e-06,0.543365368211635,0.342616822357331,4.28723922725582e-05,0.0191108575807315,5.89741096056163,0.0348517706048062,0.0316556350791159,-159.781438950891,0.00352003679345076,0.000715594992606902,0.00204507327894843,0.0473376887485752
"4",23821.4211108032,2580193.71978902,0.0667305072779618,0.00307196029776675,0.00015036944504307,3.99175795925205,0.000491533070209928,1.1485208361973e-05,6.89472100082996,0.34231633081163,2.07610769978326e-05,0.0133105904559574,5.87587956564056,0.0204060375049364,0.0243112032685987,24228.6121855985,457663.365051074,0.0278071025960921,0.00224723700368399,6.23180902807507e-05,3.51283855373346,0.000393089539006323,3.48950379303315e-06,4.75215230219115,0.342245263752278,1.67092307180514e-05,0.0119437521096037,5.86781037900719,0.0104442019491516,0.0174165270811161,-407.191074795224,0.000824723294082755,9.84435312036044e-05,7.10670593523921e-05,0.0080691866333682
"5",21635.6520117381,662282.859639958,0.0371845275696642,0.00508716586418728,8.18405752104894e-06,0.562352252144108,0.000855571692608915,4.29462790812497e-07,0.765960482224647,0.344076830794598,1.66354749606421e-05,0.011853924944536,5.93699279636777,0.0117856358434905,0.0182856324932413,22656.5131500881,444018.79067366,0.0292816103008112,0.00312375382161372,9.65704877500128e-05,3.14590361163937,0.000507990505136886,1.07783909968162e-05,6.46280975827584,0.343850435499212,2.06823839646365e-05,0.0132260670335247,5.91705253356023,0.0233983462353397,0.0258515838664259,-1020.86113835001,0.00196341204257356,0.000347581187472028,0.00022639529538665,0.0199402628075358
