sexo,secc,n_obs,y_dir,sd_dir,cv_dir,vardir,x_act,x_cta,x_jef,x_alfa
M,10,3482,22823.334281592695,480.24005731420215,2.104162570591282,230630.51264914815,0.5347529789247076,0.03872259320709183,0.23048444377408164,0.9948183823433442
M,11,2081,10473.077368157314,276.87669463566164,2.643699505911095,76660.70403236942,0.48437137555091625,0.05773022500579912,0.19305265599628857,0.9857058412596056
M,12,1216,19519.302886442747,647.5258574958496,3.317361594637648,419289.7361257353,0.5605039874731438,0.036779432649939915,0.24598521539638032,0.9965410013626358
M,13,1844,10741.540739978875,308.2895652739383,2.870068389039547,95042.45605679388,0.46844063750614334,0.0646633433967563,0.1879870813733062,0.987261970191717
M,14,792,21514.735719878347,888.8741354587114,4.131466670247983,790097.2286874716,0.5648624130631993,0.0339885092228606,0.23912912004838222,0.9959535233250477
M,15,607,25157.707843072916,1170.2031416980972,4.651469637049261,1369375.392840097,0.5987838173243981,0.04399354678580293,0.20147679324894516,0.9973988264472808
M,16,960,7748.399214165432,290.4479047124905,3.748489161238632,84359.98535187598,0.46909343844191975,0.06774866682123812,0.18979828425689776,0.984936268829664
M,17,2278,8167.077078013798,212.0161385956774,2.5959855229778106,44950.84302502149,0.47780862973246946,0.06007316320684032,0.17885318876988848,0.9818248204795327
M,18,2227,34942.87906205019,864.0448564048739,2.4727351597747202,746573.5138797192,0.552124994506219,0.0307651738232321,0.23322199270425878,0.9988274421182791
M,19,504,16244.316669664724,842.4526800450228,5.186138002457513,709726.5181150415,0.5685644192538702,0.04272058201505795,0.22679976313340666,0.9956261137210433
M,2,56,13277.119515077131,2159.6330395323853,16.265825106718108,4664014.865439889,0.6441281138790036,0.0398576512455516,0.17722419928825622,0.9885290148448043
M,20,1402,12724.700503204205,410.62448919352437,3.2269874571124486,168612.4711254428,0.49821189092534646,0.05099303914681653,0.25033527045149756,0.9918972033257748
M,21,1667,10435.479942728694,315.4025934777855,3.0224062066024464,99478.79597251322,0.49602088402270883,0.05370539334955393,0.22711374695863748,0.9897000404386403
M,22,1073,14104.965532701097,521.7117226516083,3.698780556691659,272183.12155210867,0.5195753151957532,0.039440942269409425,0.24581121433311215,0.9921381163084703
M,23,478,24032.620930180346,1443.614286528228,6.006894923039069,2084022.2082684045,0.5715888149987982,0.03485297652431696,0.2377213364313757,0.9979034011492468
M,24,1521,28948.32205866911,907.0178649459824,3.1332312218571547,822681.4073311684,0.567723783601945,0.033426098657451296,0.23593993700113153,0.9978410031941323
M,3,114,15950.525206948616,1924.8534936806086,12.067649614710328,3705060.972134445,0.6208295761947701,0.033363390441839495,0.22272317403065825,0.9952463267070009
M,4,172,21964.726733632888,1849.4023745162126,8.419874269067805,3420289.1428662054,0.61382571492907,0.03467687457779779,0.237333933798694,0.9984615384615385
M,5,277,22414.34870855483,1545.4731643190946,6.8950170465102,2388487.301630475,0.5654350066244663,0.03371117326659797,0.25437950831738554,0.9978553045467543
M,6,179,23313.566556129932,2031.9881890427928,8.715904467686492,4128976.0004094085,0.5640103854603555,0.03714799281006591,0.23447173956460954,0.9974653928641061
M,7,421,23755.30737088086,1387.2392878088801,5.839702539523236,1924432.841640489,0.6008218373936014,0.04285294980921632,0.19303394971137852,0.9972357258602612
M,8,312,16154.171661469643,1123.9002588527876,6.957337599262206,1263151.791849363,0.5861362266425557,0.03954189270644967,0.21012658227848102,0.9961663568773235
M,9,1113,11063.688614394427,402.04353772556226,3.633901420566763,161639.0062268856,0.48176524670548576,0.05507639770587978,0.1970141412372488,0.9894792428304493
M,99,1364,9614.815133012264,317.9935608555195,3.3073289133110357,101119.90474557297,0.49841712519785936,0.05841561769804779,0.19329916333760458,0.9868540661492203
